Epoch,Loss,CurrentLR,BestLoss,StagnantEpochs
105,6.256987,0.005512,6.256987,0
106,6.250572,0.005512,6.250572,0
107,6.244288,0.005512,6.244288,0
108,6.238061,0.005512,6.238061,0
109,6.230085,0.005512,6.230085,0
110,6.221897,0.005512,6.221897,0
111,6.215093,0.005512,6.215093,0
112,6.207160,0.005512,6.207160,0
113,6.200068,0.005512,6.200068,0
114,6.194176,0.005512,6.194176,0
115,6.188337,0.005512,6.188337,0
116,6.181141,0.005512,6.181141,0
117,6.174548,0.005512,6.174548,0
118,6.167909,0.005512,6.167909,0
119,6.162477,0.005512,6.162477,0
120,6.157104,0.005512,6.157104,0
121,6.151534,0.005512,6.151534,0
122,6.145562,0.005512,6.145562,0
123,6.138434,0.005512,6.138434,0
124,6.132717,0.005512,6.132717,0
125,6.126277,0.005512,6.126277,0
126,6.119548,0.005512,6.119548,0
127,6.113928,0.005512,6.113928,0
128,6.107124,0.005512,6.107124,0
129,6.100608,0.005512,6.100608,0
130,6.093454,0.005512,6.093454,0
131,6.109868,0.005512,6.093454,1
132,6.103291,0.005512,6.093454,2
133,6.097707,0.005512,6.093454,3
134,6.091624,0.005512,6.091624,0
135,6.084739,0.005512,6.084739,0
136,6.078611,0.005512,6.078611,0
137,6.073245,0.005512,6.073245,0
138,6.066971,0.005512,6.066971,0
139,6.059966,0.005512,6.059966,0
140,6.053631,0.005512,6.053631,0
141,6.047001,0.005512,6.047001,0
142,6.041550,0.005512,6.041550,0
143,6.036273,0.005512,6.036273,0
144,6.029844,0.005512,6.029844,0
145,6.023699,0.005512,6.023699,0
146,6.016147,0.005512,6.016147,0
147,6.008840,0.005512,6.008840,0
148,6.002889,0.005512,6.002889,0
149,5.995918,0.005512,5.995918,0
150,5.989892,0.005512,5.989892,0
